Processor Name,Major Revision,Minor Revision,Category,Rare,Summary,Products Affected,Erratum Description,Configurations Affected,Conditions,Implications,Workaround
Cortex A-9,r4,p0,A,1,Possible inconsistent sequencing of read accesses to the same memory location,Cortex-A9 MPCore,"The ARM architecture and the general rules of coherency require reads to the same memory location to be observed in sequential order. Because of some internal replay path mechanisms, the Cortex-A9 can see one read access bypassed by a following read access to the same memory location, thus not observing the values in program order.",-,"The erratum requires a Cortex-A9 MPCore configuration with two or more processors or more. The erratum can occur only on a processor working in SMP mode, on memory regions marked as Normal Memory Write-Back Shared.",The erratum causes data coherency failure.,"The majority of multi-processing code examples follow styles that do not expose the erratum. Therefore, this erratum occurs rarely and is likely to  ffect only very specific areas of code that rely on a read-ordering behavior. There are two possible workarounds for this erratum. The first possible workaround is to use LDREX instead of standard LDR in volatile memory places that require a strict read ordering. The alternative possible workaround is the recommended workaround for tool chains integration. It requires insertion of a DMB between the affected LDR that requires this strict ordering rule. For more information about integrating the workaround inside tool chains, see the Programmer Advice Notice related to this erratum, ARM UAN 0004A."
Cortex A-9,r4,p0,B,0,Global Timer can send two interrupts for the same event,Cortex-A9 MPCore,"The Global Timer can be programmed to generate an interrupt request to the processor when it reaches a given programmed value. Because of the erratum, when you program the Global Timer to not use the auto-increment feature, it might generate two interrupt requests instead of one.",-,"The Global Timer Control register is programmed with the following settings. Bit[3] = 1'b0 - Global Timer is programmed in single-shot mode. Bit[2] = 1'b1 - Global Timer IRQ generation is enabled. Bit[1] = 1'b1 - Global Timer value comparison with Comparator registers is enabled. Bit[0] = 1'b1 - Global Timer count is enabled. With these settings, an IRQ is generated to the processor when the Global Timer value reaches the value programmed in the Comparator registers. The Interrupt Handler then performs the following sequence. Read the ICCIAR (Interrupt Acknowledge) register. Clear the Global Timer flag. Modify the comparator value, to set it to a higher value. Write the ICCEOIR (End of Interrupt) register. Under these conditions, because of the erratum the Global Timer might generate a second (spurious) interrupt request to the processor at the end of this Interrupt Handler sequence.",The erratum creates spurious interrupt requests in the system.,"Because the erratum happens only when the Global Timer is programmed in single-shot mode, that is, when it does not use the auto-increment feature, a first possible workaround is to program the Global Timer to use the auto-increment feature. If this first solution is not possible, a second workaround is to modify the Interrupt Handler to avoid the offending sequence. You can achieve this by clearing the Global Timer flag after incrementing the Comparator register value. The correct code sequence for the Interrupt Handler should then look like the following sequence. Read the ICCIAR (Interrupt Acknowledge) register. Modify the comparator value, to set it to a higher value. Clear the Global Timer flag. Clear the Pending Status information for Interrupt 27 (Global Timer interrupt) in the Distributor of the Interrupt Controller. Write the ICCEOIR (End of Interrupt) register."
Cortex A-9,r4,p0,B,0,Missed watchpoint on the second part of an unaligned access crossing a page boundary,"Cortex-A9, Cortex-A9 MPCore","Under rare conditions, a watchpoint might be undetected if it occurs on the second part of an unaligned access that crosses a 4K page boundary and misses in the μTLB for the second part of its request. The erratum requires a previous conditional instruction which accesses the second 4KB memory region (=where the watchpoint is set), which misses in the μTLB, and which is condition failed. The erratum also requires that no other μTLB miss occurs between this conditional failed instruction and the unaligned access, which implies that the unaligned access must hit in the μTLB for the first part of its access",-,-,A watchpoint does not trigger when it should.,"The erratum might occur in the case when a watchpoint is set on any of the first 3 bytes of a 4KB memory region, and unaligned accesses are not being faulted. The workaround is then to set a guard watchpoint on the last byte of the previous page, and to deal with any false positive matches if they occur."
Cortex A-9,r4,p0,B,0,Faulty MMU translations following ASID switch,"Cortex-A9, Cortex-A9 MPCore","A microTLB entry might be corrupted following an ASID switch, possibly corrupting subsequent MMU translations. The erratum requires execution of an explicit memory access, which might be speculative. This memory access misses in the TLB and cause a translation table walk. The erratum occurs when the translation table walk starts before the ASID switch code sequence, but completes after the ASID switch code sequence. In this case, a new entry is allocated in the microTLB for the TLB entry for this translation table walk, but corresponding to the old ASID. Because the microTLB does not record the ASID value, the new MMU translation, which should happen with the new ASID following the ASID switch, might hit this stale microTLB entry and become corrupted. Note that there is no Trustzone Security risk because the Security state of the access is held in the microTLB, and cannot be corrupted.",-,-,The erratum might cause MMU translation corruptions.,"The workaround for this erratum is to add a DSB in the ASID switch code sequence. The ARM architecture only mandates ISB before and after the ASID switch. Adding a DSB before the ASID switch ensures that the page table walk completes before the ASID change, so that no stale entry can be allocated in the microTLB. Modify the examples in the ARM Architecture Reference Manual for synchronizing the change in the ASID and TTBR as follows: The sequence: Change ASID to 0 ISB Change Translation Table Base Register ISB Change ASID to new value Becomes: DSB Change ASID to 0 ISB Change Translation Table Base Register ISB DSB Change ASID to new value. The sequence: Change Translation Table Base Register to the global-only mappings ISB Change ASID to new value ISB. Change Translation Table Base Register to new value Becomes: Change Translation Table Base Register to the global-only mappings ISB DSB Change ASID to new value ISB Change Translation Table Base Register to new value And the sequence: Set TTBCR.PD0 = 1 ISB Change ASID to new value Change Translation Table Base Register to new value ISB Set TTBCR.PD0 = 0 Becomes: Set TTBCR.PD0 = 1 ISB DSB Change ASID to new value Change Translation Table Base Register to new value ISB Set TTBCR.PD0 = 0"
Cortex A-9,r4,p0,B,0,Data or unified cache line maintenance by MVA fails on Inner Shareable memory,Cortex-A9 MPCore,"Under certain timing circumstances, a data or unified cache line maintenance operation by MVA that targets an Inner Shareable memory region might fail to propagate to either the Point of Coherency or to the Point of Unification of the system. As a consequence, the visibility of the updated data might not be guaranteed to either the instruction side, in the case of self-modifying code, or to an external non-coherent agent, such as a DMA engine.",-,"The erratum requires a Cortex-A9 MPCore configuration with two or more processors, working in SMP mode, with the broadcasting of CP15 maintenance operations enabled. The following scenario shows how the erratum can occur:  One CPU performs a data or unified cache line maintenance operation by MVA targeting a memory region which is locally dirty. A second CPU issues a memory request targeting this same memory location within the same time frame. A race condition can occur, resulting in the cache operation not being performed to the specified Point of Unification or Point of Coherence. The erratum affects the following maintenance operations: DCIMVAC: Invalidate data or unified cache line by MVA to PoC. DCCMVAC: Clean data or unified cache line by MVA to PoC DCCMVAU: Clean data or unified cache line by MVA to PoU. DCCIMVAC: Clean and invalidate data or unified cache line by MVA to PoC. The erratum can occur when the second CPU performs any of the following operations:. A read request resulting from any Load instruction; the Load might be a speculative one. A write request resulting from any Store instruction. A data prefetch resulting from a PLD instruction; the PLD might be a speculative one.","Because it is uncertain whether execution of the cache maintenance operation propagates to either the Point of Unification or the Point of Coherence, stale data might remain in the data cache and not become visible to other agents that should have gained visibility on it. Note that the data remains coherent on the L1 Data side. Any data read from another processor in the Cortex A9 MPCore cluster, or from the ACP, would see the correct data. In the same way, any write on the same cache line from another processor in the Cortex-A9 MPCore cluster, or from the ACP, does not cause a data corruption resulting from a loss of either data. Consequently, the failure can only impact non-coherent agents in the systems. This can be either the instruction cache of the processor, in the case of self-modifying code, or any non-coherent external agent in the system like a DMA.","Two workarounds are available for this erratum. The first workaround requires the three following elements to be applied altogether: Set bit[0] in the undocumented SCU Diagnostic Control register located at offset 0x30 from the PERIPHBASE address. Setting this bit disables the migratory bit feature. This forces a dirty cache line to be evicted to the lower memory subsystem, which is both the Point of Coherency and the Point of Unification, when it is being read by another processor. Note that this bit can be written, but is always Read as Zero. 2. Insert a DSB instruction before the cache maintenance operation. Note that, if the cache maintenance operation executes within a loop that performs no other memory operations, ARM recommends only adding a DSB before entering the loop. 3. Ensure there is no false sharing (on a cache line size alignment) for self-modifying code or for data produced for external non-coherent agent such as a DMA engine. For systems which cannot prevent false sharing in these regions, this third step can be replaced by performing the sequence of DSB followed by Cache maintenance operation twice. Note that even when all three components of the workaround are in place, the erratum might still occur. However, this would require some extremely rare and complex timing conditions, so that the probability of reaching the point of failure is extremely low. This, and the fact that the erratum requires an uncommon software scenario, explains why this workaround is likely to be a reliable practical solution for most systems. To ARM's knowledge, no failure has been observed in any system when all three components of this workaround have been implemented. For critical systems that cannot cope with the extremely low failure risks associated with the above workaround, a second workaround is possible which involves changing the mapping of the data being accessed so that it is in a Non-Cacheable area. This ensures that the written data remains uncached. This means it is always visible to non-coherent agents in the system, or to the instruction side in the case of self-modifying code, without any need for cache maintenance operation."
Cortex A-9,r4,p0,B,0,A short loop including a DMB instruction might cause a denial of service on another processor which executes a CP15 broadcast operation,Cortex-A9 MPCore,"A processor which continuously executes a short loop containing a DMB instruction might prevent a CP15 operation broadcast by another processor making further progress, causing a denial of service. ",This erratum affects all Cortex-A9 MPCore processors with two or more processors.,"The erratum requires the following conditions:  Two or more processors are working in SMP mode (ACTLR.SMP=1)  One of the processors continuously executes a short loop containing at least one DMB instruction.  Another processor executes a CP15 maintenance operation that is broadcast. This requires that this processor has enabled the broadcasting of CP15 operations (ACTLR.FW=1) For the erratum to occur, the short loop containing the DMB instruction must meet all of the following additional conditions:  No more than 10 instructions other than the DMB are executed between each DMB  No non-conditional Load or Store, or conditional Load or Store which pass the condition code check, are executed between each DMB When all the conditions for the erratum are met, the short loop is creating a continuous stream of DMB instructions. This might cause a denial of service, by preventing the processor executing the short loop from executing the received broadcast CP15 operation. As a result, the processor that originally executed the broadcast CP15 operation is stalled until the execution of the loop is interrupted. Note that because the process issuing the CP15 broadcast operation cannot complete operation, it cannot enter any debug-mode, and cannot take any interrupt. If the processor executing the short loop also cannot be interrupted, for example if it has disabled its interrupts, or if no interrupts are routed to this processor, this erratum might cause a system livelock. ","The erratum might create performance issues, or in the worst case it might cause a system livelock if the processor executing the DMB is in an infinite loop that cannot be interrupted. ","This erratum can be worked round by setting bit[4] of the undocumented Diagnostic Control Register to 1. This register is encoded as CP15 c15 0 c0 1. This bit can be written in Secure state only, with the following Read/Modify/Write code sequence: MRC p15,0,rt,c15,c0,1 ORR rt,rt,#0x10 MCR p15,0,rt,c15,c0,1 When it is set, this bit causes the DMB instruction to be decoded and executed like a DSB. Using this software workaround is not expected to have any impact on the overall performance of the processor on a typical code base. Other workarounds are also available for this erratum, to either prevent or interrupt the continuous stream of DMB instructions that causes the deadlock. For example: 2-24 Inserting a non-conditional Load or Store instruction in the loop between each DMBInserting additional instructions in the loop, such as NOPs, to avoid the processor seeing back to back DMB instructions. Making the processor executing the short loop take regular interrupts. "
Cortex A-9,r4,p0,B,0,Speculative instruction fetches with MMU disabled might not comply with architectural requirements,"Cortex-A9, Cortex-A9 MPCore","When the MMU is disabled, an ARMv7 processor must follow some architectural rules regarding speculative fetches and the addresses to which these can be initiated. These rules avoid potential read accesses to read-sensitive areas. For more information about these rules see the description of Behavior of instruction fetches when all associated MMUs are disabled in the ARM Architecture Reference Manual, ARMv7-A and ARMv7-R edition. A Cortex-A9 processor usually operates with both the MMU and branch prediction enabled. If the processor operates in this condition for any significant amount of time, the Branch Target Address Cache (BTAC) will contain branch predictions. If the MMU is then disabled, but branch prediction remains enabled, these stale BTAC entries can cause the processor to violate the rules for speculative fetches. ",This erratum affects all configurations of the processor.,"The erratum can occur only if the following sequence of conditions is met: 1. MMU and branch prediction are enabled. 2. Branches are executed. 3. MMU is disabled, and branch prediction remains enabled. ","If the above conditions occur, it is possible that after the MMU is disabled, speculative instruction fetches might occur to read-sensitive locations. ","The recommended workaround is to invalidate all entries in the BTAC, by executing an Invalidate Entire Branch Prediction Array (BPIALL) operation followed by a DSB, before disabling the MMU. Another possible workaround is to disable branch prediction when disabling the MMU, and keep branch prediction disabled until the MMU is re-enabled. "
Cortex A-9,r4,p0,B,0,"A write request to Uncacheable, Shareable normal memory region might be executed twice, possibly causing a software synchronisation issue","Cortex-A9, Cortex-A9 MPCore","Under certain timing circumstances specific to the Cortex-A9 microarchitecture, a write request to an Uncacheable, Shareable Normal memory region might be executed twice, causing the write request to be sent twice on the AXI bus. This might happen when the write request is followed by another write into the same naturally aligned doubleword memory region, without a DMB between the two writes. The repetition of the write usually has no impact on the overall behaviour of the system, unless the repeated write is used for synchronisation purposes. ",The erratum affects all configurations of the processor.,"The erratum requires the following conditions: 1. A write request is performed to an Uncacheable, Shareable Normal memory region. 2. Another write request is performed into the same naturally doubleword aligned memory region. This second write request must not be performed to the exact same bytes as the first store. A write request to Normal memory region is treated as Uncacheable in the following cases: The write request occurs while the Data Cache is disabled. The write request is targeting a memory region marked as Normal Memory Non-Cacheable or Cacheable Write-Through. The write request is targeting a memory region marked as Normal Memory Cacheable Write-Back and Shareable, and the CPU is in AMP mode. ","This erratum might have implications in a multi-master system where control information is passed between several processing elements in memory using a communication variable, for example a semaphore. In such a system, it is common for communication variables to be claimed using a Load-Exclusive/Store-Exclusive, but for the communication variable to be cleared using a non-Exclusive store. This erratum means that the clearing of such a communication variable might occur twice. This might lead to two masters apparently claiming a communication variable, and therefore might cause data corruption to shared data. A scenario in which this might happen is: MOV r1,#0x40; address is double-word aligned, mapped in ; Normal Non-cacheable Shareable memory Loop:LDREXr5, [r1,#0x0]; read the communication variable CMP r5, #0 ; check if 0 STREXEQ r5, r0, [r1]; attempt to store new value CMPEQ r5, #0; test if store succeeded BNE Loop; retry if not DMB ; ensures that all subsequent accesses are observed when gaining of the communication variable has been observed ; loads and stores in the critical region can now be performed MOV r2,#0 MOV r0, #0 DMB ; ensure all previous accesses are observed before the ; communication variable is cleared STR r0, [r1]; clear the communication variable with normal store STR r2, [r1,#0x4] ; previous STR might merge and be sent again, which might ; cause undesired release of the communication variable. This scenario is valid when the communication variable is a byte, a half-word, or a word ","There are several possible workarounds: Add a DMB after clearing a communication variable: STR r0, [r1]; clear the communication variable DMB ; ensure the previous STR is complete Also any IRQ or FIQ handler must execute a DMB at the start to ensure as well the clear of any communication variable is complete. Ensure there is no other data using the same naturally aligned 64-bit memory location as the communication variable: ALIGN 64 communication_variable DCD 0 unused_data DCD 0 LDR r1,= communication_variable ARM UAN 0009D ID032315 Use a Store-Exclusive to clear the communication variable, rather than a non-Exclusive store. "
Cortex A-9,r4,p0,B,1,"Under very rare timing circumstances, transitioning into streaming mode might create a data corruption",Cortex-A9 MPCore,"Under very rare timing circumstances, a data corruption might occur on a dirty cache line that is evicted from the L1 Data Cache due to another cache line being fully written. ",This erratum affects configurations with either: One processor if the ACP is present Two or more processors ,"The erratum requires the following conditions: The CPU contains a dirty line in its data cache. The CPU performs at least four full cache line writes, one of which causes the eviction of the dirty line. Another CPU, or the ACP, performs a read or write operation on the dirty line. The defect requires very rare timing conditions to reach the point of failure. These timing conditions depend on the CPU micro-architecture and are not controllable in software: The CPU must be in a transitional mode that might be triggered by the detection of the first two full cache line writes. The evicted line must remain stalled in the eviction buffer, which is likely to be caused by congested write traffic. The other coherent agent, either another CPU in the cluster or the ACP, must perform its coherency request on the evicted line while it is in the eviction buffer. ",The erratum might lead to data corruption.,"This erratum can be worked round by setting bit[22] of the undocumented Diagnostic Control Register to 1. This register is encoded as CP15 c15 0 c0 1. The bit can be written in Secure state only, with the following Read/Modify/Write code sequence: MRC p15,0,rt,c15,c0,1 ORR rt,rt,#0x00400000 MCR p15,0,rt,c15,c0,1 When this bit is set, the processor is unable to switch into Read-Allocate (streaming) mode, which means this erratum cannot occur. Setting this bit could possibly result in a visible drop in performance for routines that perform intensive memory accesses, such as memset() or memcpy(). However, the workaround is not expected to create any significant performance degradation in most standard applications. "
Cortex A-9,r4,p0,C,0,ISB is counted in Performance Monitor events 0x0C and 0x0D,"Cortex-A9, Cortex-A9 MPCore","The ISB is implemented as a branch in the Cortex-A9 micro-architecture. This implies that events 0x0C (software change of PC) and 0x0D (immediate branch) are asserted when an ISB occurs, which is not compliant with the ARM Architecture. ",-,-,"The count of events 0x0C and 0x0D are not completely precise when using the Performance Monitor counters, because the ISB is counted together with the real software changes to PC (for 0x0C ) and immediate branches ( 0x0D ). The erratum also causes the corresponding PMUEVENT bits to toggle in case an ISB executes. PMUEVENT[13] relates to event 0x0C PMUEVENT[14] relates to event 0x0D . ","You can count ISB instructions alone with event 0x90 . You can subtract this ISB count from the results you obtained in events 0x0C and 0x0D , to obtain the precise count of software change of PC ( 0x0C ) and immediate branches ( 0x0D ). "
